timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1525454475151,62,Frontpage,200,OK,Thread Group 1-2,text,true,,45367,633,20,20,http://rtc2018.absurdicum.net/,,61,UTF-8,1,0,ip-172-31-16-98,0,0
1525454475753,97,Post comment,200,OK,Thread Group 1-11,text,true,,22840,1853,20,20,http://rtc2018.absurdicum.net/2017/10/16/ou-zhen/#comment-962,,37,UTF-8,1,0,ip-172-31-16-98,0,0
1525454475941,60,Frontpage,200,OK,Thread Group 1-18,text,true,,45370,633,20,20,http://rtc2018.absurdicum.net/,,59,UTF-8,1,0,ip-172-31-16-98,0,1
1525454476058,99,Article,200,OK,Thread Group 1-14,text,true,,37353,702,20,20,http://rtc2018.absurdicum.net/2018/03/11/johann-steinhauer/,,99,UTF-8,1,0,ip-172-31-16-98,0,0
1525454476191,59,Frontpage,200,OK,Thread Group 1-15,text,true,,45369,633,20,20,http://rtc2018.absurdicum.net/,,58,UTF-8,1,0,ip-172-31-16-98,0,0
1525454476417,60,Frontpage,200,OK,Thread Group 1-20,text,true,,45370,633,20,20,http://rtc2018.absurdicum.net/,,59,UTF-8,1,0,ip-172-31-16-98,0,0
1525454476628,101,Frontpage,200,OK,Thread Group 1-4,text,true,,45385,633,20,20,http://rtc2018.absurdicum.net/,,101,UTF-8,1,0,ip-172-31-16-98,0,1
1525454476595,198,Post comment,200,OK,Thread Group 1-10,text,true,,36026,1861,20,20,http://rtc2018.absurdicum.net/2018/03/23/zenna-henderson/#comment-963,,44,UTF-8,1,0,ip-172-31-16-98,0,1
1525454476642,149,Article,200,OK,Thread Group 1-1,text,true,,33165,697,20,20,http://rtc2018.absurdicum.net/2018/03/17/james-a-owen/,,148,UTF-8,1,0,ip-172-31-16-98,0,0
1525454476919,63,Frontpage,200,OK,Thread Group 1-6,text,true,,45385,633,20,20,http://rtc2018.absurdicum.net/,,63,UTF-8,1,0,ip-172-31-16-98,0,0
1525454477284,111,Article,200,OK,Thread Group 1-19,text,true,,32985,713,20,20,http://rtc2018.absurdicum.net/2018/04/03/colcabamba-district-tayacaja/,,110,UTF-8,1,0,ip-172-31-16-98,0,1
1525454477565,68,Frontpage,200,OK,Thread Group 1-7,text,true,,45385,633,20,20,http://rtc2018.absurdicum.net/,,67,UTF-8,1,0,ip-172-31-16-98,0,0
1525454477758,65,Article,200,OK,Thread Group 1-16,text,true,,24889,760,20,20,http://rtc2018.absurdicum.net/2018/02/15/national-register-of-historic-places-listings-in-pottawatomie-county-kansas/,,64,UTF-8,1,0,ip-172-31-16-98,0,0
1525454477940,95,Article,200,OK,Thread Group 1-2,text,true,,32986,713,20,20,http://rtc2018.absurdicum.net/2018/04/03/colcabamba-district-tayacaja/,,95,UTF-8,1,0,ip-172-31-16-98,0,0
